id_user,experiment_date,treatment,platform,time_zone,cancelled_paid_plan_or_not,paid_plan_signup_date
XZB2NITIAYA7DN,2022-07-08,0,desktop,CST,0,
XZBLHYKSP1A7DN,2022-07-14,0,desktop,CST,0,
XZBWHNWGE0A7DN,2022-06-13,1,desktop,EST,0,
XZB1RMU6EAA7DN,2022-06-09,1,desktop,EST,0,
XZBP75ZN08A7DN,2022-06-10,0,desktop,HST,0,
XZBS3VBF13A7DN,2022-06-12,0,desktop,PST,0,
XZBKRSS9DIA7DN,2022-06-06,0,desktop,EST,0,
XZBP5K4BXXA7DN,2022-06-16,0,desktop,CST,0,
XZB4EZUCXDA7DN,2022-06-01,0,desktop,PST,0,
XZB5DW38DOA7DN,2022-06-17,0,desktop,CST,0,
XZBPVHVD9TA7DN,2022-06-02,0,desktop,CST,0,
XZBPTKHSJAA7DN,2022-06-13,0,desktop,CST,0,
XZBIVMU9CLA7DN,2022-06-08,1,desktop,PST,0,
XZBRRGOAREA7DN,2022-07-16,0,desktop,CST,0,2022-07-26
XZB8W2GGRVA7DN,2022-07-31,0,mobile,CST,0,
XZB8KALCTXA7DN,2022-06-07,0,desktop,MST,0,
XZB48MD34NA7DN,2022-06-26,1,desktop,EST,0,2022-06-28
XZBFZQK9W6A7DN,2022-07-21,1,mobile,EST,0,
XZBLLGA2U3A7DN,2022-06-21,0,desktop,EST,0,
XZBO08GKU7A7DN,2022-07-08,0,desktop,CST,0,
XZBCNS3NLGA7DN,2022-06-19,1,desktop,PST,0,
XZBWC111E5A7DN,2022-06-21,0,desktop,CST,0,
XZB3W5GAS0A7DN,2022-06-12,0,desktop,EST,0,
XZB7SVNK97A7DN,2022-07-31,0,desktop,PST,0,
XZBOKEVPCUA7DN,2022-07-13,0,desktop,EST,0,
XZB25F2H5HA7DN,2022-06-29,1,desktop,CST,0,
XZB844MBE3A7DN,2022-06-30,0,desktop,EST,0,
XZBEDN0M4OA7DN,2022-06-15,1,desktop,EST,0,
XZBDS327KDA7DN,2022-07-21,1,desktop,EST,0,
XZBQZB5OLHA7DN,2022-06-05,1,desktop,CST,0,
XZBE1DDGKKA7DN,2022-06-24,0,desktop,MST,0,
XZBYS68OK3A7DN,2022-06-24,0,desktop,EST,0,
XZBAZ2NBMXA7DN,2022-07-12,1,mobile,CST,0,
XZBTLEYPW8A7DN,2022-07-20,0,desktop,CST,0,
XZBMZVETUQA7DN,2022-07-26,0,mobile,EST,0,
XZBH2ZHSKLA7DN,2022-07-01,0,desktop,CST,0,
XZBBCR5P8GA7DN,2022-07-03,0,desktop,PST,0,
XZB61FPF2WA7DN,2022-06-23,1,desktop,EST,0,
XZB99J0CI7A7DN,2022-06-14,0,desktop,EST,0,
XZBGCEOD79A7DN,2022-07-12,0,desktop,PST,0,
XZBMUGHTAEA7DN,2022-06-10,0,desktop,PST,0,
XZBVYT63U9A7DN,2022-06-08,0,desktop,EST,0,
XZB5VE98JQA7DN,2022-06-23,0,desktop,EST,0,
XZBU4P2UDGA7DN,2022-07-28,1,desktop,CST,0,
XZBM7I9LOGA7DN,2022-06-02,0,desktop,EST,0,
XZB8G82EFMA7DN,2022-06-01,0,desktop,EST,0,
XZBUXTXOL8A7DN,2022-07-31,0,desktop,CST,0,
XZBF22B01KA7DN,2022-06-18,1,desktop,PST,0,2022-07-12
XZBR3Q1L5QA7DN,2022-06-09,1,desktop,CST,0,
XZB87HFD3QA7DN,2022-06-25,1,desktop,EST,0,
XZBZURYFQ2A7DN,2022-06-14,1,desktop,CST,0,
XZBY32BHQ6A7DN,2022-07-22,0,desktop,MST,0,
XZBUICC351A7DN,2022-07-18,0,desktop,CST,0,
XZBV586X78A7DN,2022-07-13,1,desktop,CST,0,
XZBQ7JJVIHA7DN,2022-07-28,1,mobile,EST,0,
XZB45C0MJ0A7DN,2022-06-09,0,desktop,EST,0,
XZBR9YKP46A7DN,2022-07-01,1,desktop,CST,0,
XZB5MBWE41A7DN,2022-06-08,1,desktop,EST,0,
XZBNX03MDLA7DN,2022-06-04,0,desktop,CST,1,2022-06-05
XZBIU453PGA7DN,2022-06-07,0,desktop,CST,0,
XZBX0K6WQ0A7DN,2022-06-22,1,desktop,CST,1,2022-06-29
XZBIMXCBQ9A7DN,2022-07-20,0,mobile,EST,0,2022-07-24
XZB2F2YIY1A7DN,2022-07-28,1,desktop,CST,0,
XZB5F2GN1GA7DN,2022-06-04,0,desktop,EST,0,
XZB6HGHZXBA7DN,2022-06-05,1,desktop,HST,0,
XZB23L9D4NA7DN,2022-06-25,0,desktop,EST,0,
XZBNASNDW1A7DN,2022-07-20,1,desktop,EST,0,
XZBM76K6GCA7DN,2022-07-14,0,desktop,PST,1,2022-07-16
XZBM0VHA40A7DN,2022-06-13,1,desktop,EST,0,
XZBVS8M0KHA7DN,2022-06-27,1,desktop,EST,0,
XZBL9C6T63A7DN,2022-07-23,1,desktop,CST,0,
XZBBWL7QLIA7DN,2022-06-17,0,desktop,EST,0,
XZBKGLQVUDA7DN,2022-07-16,1,desktop,PST,0,
XZB1850M78A7DN,2022-07-22,0,desktop,CST,0,
XZBID6IETFA7DN,2022-07-12,1,desktop,CST,0,
XZBSIP6IZWA7DN,2022-06-19,1,desktop,PST,0,
XZBIXXD34DA7DN,2022-06-16,1,desktop,CST,0,
XZBFT0QISNA7DN,2022-06-01,1,desktop,EST,0,
XZB78RUSSJA7DN,2022-06-05,0,desktop,EST,0,
XZBYN4X1XCA7DN,2022-06-26,1,desktop,PST,0,
XZB0YUUAH8A7DN,2022-07-18,1,mobile,EST,0,2022-07-25
XZBPHYFCQ6A7DN,2022-07-05,0,desktop,PST,0,
XZBJZ22S2OA7DN,2022-06-24,0,desktop,CST,0,
XZBIZ9OLZVA7DN,2022-06-08,0,desktop,EST,0,
XZBWXNMEOKA7DN,2022-06-27,0,desktop,CST,0,
XZBBI60Y6ZA7DN,2022-06-26,0,desktop,CST,0,
XZBAWV8ZAQA7DN,2022-07-11,0,desktop,HST,0,
XZBCZWEMINA7DN,2022-06-23,0,desktop,EST,0,
XZBN8RMA7SA7DN,2022-06-10,0,desktop,CST,0,
XZB2VLQ7AAA7DN,2022-06-04,1,desktop,PST,0,
XZB6FBS68NA7DN,2022-07-10,0,desktop,CST,0,
XZBGSHWSEHA7DN,2022-06-24,0,desktop,PST,0,
